
> trade-imports-animals-frontend@0.0.0 format
src/server/app/sets/live-animals/docs/add-a-field.md 11ms (unchanged)
src/server/app/sets/live-animals/docs/add-a-page.md 12ms (unchanged)
src/server/app/sets/live-animals/docs/add-a-section.md 12ms (unchanged)
src/server/app/sets/live-animals/docs/features.md 4ms (unchanged)
src/server/app/sets/live-animals/docs/journey-flow-and-gates.md 4ms (unchanged)
src/server/app/sets/live-animals/docs/lighthouse.md 4ms (unchanged)
src/server/app/sets/live-animals/docs/limits.md 1ms (unchanged)
src/server/app/sets/live-animals/docs/obligation-model.md 2ms (unchanged)
src/server/app/sets/live-animals/docs/README.md 2ms (unchanged)
src/server/app/sets/live-animals/docs/services.md 1ms (unchanged)
src/server/app/sets/live-animals/docs/testing.md 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/fixtures/characterisation-oracles.json 8ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/flow/fixtures/happy-path.json 1ms (unchanged)
stylelint.config.js 0ms (unchanged)
test/setup-obligation-set.js 1ms (unchanged)
tests/lighthouse/auth-setup.cjs 1ms (unchanged)
vitest.config.js 0ms (unchanged)
webpack.config.js 2ms (unchanged)
